index,model,feature_type,feature_value,lambda_type,lambda_value,rmse
189,krr,M,9.899999999999999,cv_lambda,1000,4268.393020545006
190,svr,M,0.5,normal_lambda,1,33.46289030654181
191,svr,M,0.5,cv_lambda,10000,30.36937651764245
192,svr,M,0.6,normal_lambda,1,33.441299989399255
193,svr,M,0.6,cv_lambda,10000,30.37076474504411
194,svr,M,0.7,normal_lambda,1,33.25749057559767
195,svr,M,0.7,cv_lambda,10000,30.373259825199174
196,svr,M,0.7999999999999999,normal_lambda,1,33.097898695491324
197,svr,M,0.7999999999999999,cv_lambda,10000,30.37768557753251
198,svr,M,0.8999999999999999,normal_lambda,1,32.97153346939401
199,svr,M,0.8999999999999999,cv_lambda,10000,30.385453778115693
200,svr,M,0.9999999999999999,normal_lambda,1,32.79659901365039
201,svr,M,0.9999999999999999,cv_lambda,10000,30.39897273284921
202,svr,M,1.0999999999999999,normal_lambda,1,33.01631332425824
203,svr,M,1.0999999999999999,cv_lambda,10000,30.42233561495918
204,svr,M,1.1999999999999997,normal_lambda,1,33.23744402885068
205,svr,M,1.1999999999999997,cv_lambda,10000,30.46248038055311
206,svr,M,1.2999999999999998,normal_lambda,1,33.59331629004688
207,svr,M,1.2999999999999998,cv_lambda,10000,30.531148481932618
208,svr,M,1.4,normal_lambda,1,33.72276891673446
209,svr,M,1.4,cv_lambda,10000,30.641538972967254
210,svr,M,1.4999999999999998,normal_lambda,1,34.21768748130541
211,svr,M,1.4999999999999998,cv_lambda,10000,30.81631399496719
212,svr,M,1.5999999999999996,normal_lambda,1,35.16167781746949
213,svr,M,1.5999999999999996,cv_lambda,10000,31.059120780765486
214,svr,M,1.6999999999999997,normal_lambda,1,35.68227903112677
215,svr,M,1.6999999999999997,cv_lambda,10000,31.494134377989095
216,svr,M,1.7999999999999998,normal_lambda,1,36.434137330868545
217,svr,M,1.7999999999999998,cv_lambda,10000,32.116168180586115
218,svr,M,1.8999999999999997,normal_lambda,1,36.494541746567606
219,svr,M,1.8999999999999997,cv_lambda,10000,32.66323535027762
220,svr,M,1.9999999999999996,normal_lambda,1,36.98278704028966
221,svr,M,1.9999999999999996,cv_lambda,10000,33.238472742297894
222,svr,M,2.0999999999999996,normal_lambda,1,37.339048048518684
223,svr,M,2.0999999999999996,cv_lambda,10000,33.36420304673873
224,svr,M,2.1999999999999997,normal_lambda,1,37.61632645720726
225,svr,M,2.1999999999999997,cv_lambda,10000,33.728923623928345
226,svr,M,2.3,normal_lambda,1,38.19445688582018
227,svr,M,2.3,cv_lambda,10000,33.73936791953851
228,svr,M,2.3999999999999995,normal_lambda,1,38.48305585967431
229,svr,M,2.3999999999999995,cv_lambda,100,35.749792609045016
230,svr,M,2.4999999999999996,normal_lambda,1,38.60222295809033
231,svr,M,2.4999999999999996,cv_lambda,100,36.19168803078884
232,svr,M,2.5999999999999996,normal_lambda,1,39.26972306042684
233,svr,M,2.5999999999999996,cv_lambda,100,36.58577326767759
234,svr,M,2.6999999999999993,normal_lambda,1,40.02775397370246
235,svr,M,2.6999999999999993,cv_lambda,1000,35.611077823314176
236,svr,M,2.7999999999999994,normal_lambda,1,39.34030553620089
237,svr,M,2.7999999999999994,cv_lambda,1000,35.849853533534436
238,svr,M,2.8999999999999995,normal_lambda,1,38.802684260194575
239,svr,M,2.8999999999999995,cv_lambda,1000,36.26634106512332
240,svr,M,2.9999999999999996,normal_lambda,1,38.378485098265415
241,svr,M,2.9999999999999996,cv_lambda,10000,35.303692902981005
242,svr,M,3.0999999999999996,normal_lambda,1,38.17155151156809
243,svr,M,3.0999999999999996,cv_lambda,10000,35.573348633461194
244,svr,M,3.1999999999999993,normal_lambda,1,38.11956855102409
245,svr,M,3.1999999999999993,cv_lambda,10000,35.797452796159824
246,svr,M,3.2999999999999994,normal_lambda,1,37.6519391897088
247,svr,M,3.2999999999999994,cv_lambda,10000,36.09266182441094
248,svr,M,3.3999999999999995,normal_lambda,1,37.40287865136702
249,svr,M,3.3999999999999995,cv_lambda,10000,36.43406144232869
250,svr,M,3.499999999999999,normal_lambda,1,37.32014939837391
251,svr,M,3.499999999999999,cv_lambda,10000,37.17766297239427
252,svr,M,3.599999999999999,normal_lambda,1,37.4402685587665
253,svr,M,3.599999999999999,cv_lambda,10000,37.37447289368299
254,svr,M,3.6999999999999993,normal_lambda,1,36.8224762232851
255,svr,M,3.6999999999999993,cv_lambda,10000,37.33643693859239
256,svr,M,3.7999999999999994,normal_lambda,1,36.51738151094021
257,svr,M,3.7999999999999994,cv_lambda,0.1,34.936909499823145
258,svr,M,3.8999999999999995,normal_lambda,1,36.103405036220856
259,svr,M,3.8999999999999995,cv_lambda,0.1,34.89159092757866
260,svr,M,3.999999999999999,normal_lambda,1,35.39056037510776
261,svr,M,3.999999999999999,cv_lambda,1,35.39056037510776
262,svr,M,4.1,normal_lambda,1,34.88277409614628
263,svr,M,4.1,cv_lambda,0.1,32.99152523797418
264,svr,M,4.199999999999999,normal_lambda,1,34.16292815792105
265,svr,M,4.199999999999999,cv_lambda,1,34.16292815792105
266,svr,M,4.299999999999999,normal_lambda,1,33.62720911297154
267,svr,M,4.299999999999999,cv_lambda,1,33.62720911297154
268,svr,M,4.399999999999999,normal_lambda,1,32.88587086455014
269,svr,M,4.399999999999999,cv_lambda,1,32.88587086455014
270,svr,M,4.499999999999999,normal_lambda,1,33.1100414214584
271,svr,M,4.499999999999999,cv_lambda,5,33.58182643522276
272,svr,M,4.599999999999999,normal_lambda,1,33.596763116256554
273,svr,M,4.599999999999999,cv_lambda,5,32.95485041583632
274,svr,M,4.699999999999999,normal_lambda,1,34.01254007375307
275,svr,M,4.699999999999999,cv_lambda,10,32.933582390954946
276,svr,M,4.799999999999999,normal_lambda,1,33.0897649218891
277,svr,M,4.799999999999999,cv_lambda,10,33.109891648456916
278,svr,M,4.899999999999999,normal_lambda,1,33.228095580836104
279,svr,M,4.899999999999999,cv_lambda,100,33.8436934972389
280,svr,M,4.999999999999999,normal_lambda,1,32.14410537275226
281,svr,M,4.999999999999999,cv_lambda,100,33.05539712759379
282,svr,M,5.099999999999999,normal_lambda,1,35.93391571994177
283,svr,M,5.099999999999999,cv_lambda,100,33.08586437753492
284,svr,M,5.199999999999999,normal_lambda,1,31.207131873080378
285,svr,M,5.199999999999999,cv_lambda,100,33.14566594446171
286,svr,M,5.299999999999999,normal_lambda,1,28.09978801630925
287,svr,M,5.299999999999999,cv_lambda,1000,33.7672467733609
288,svr,M,5.399999999999999,normal_lambda,1,35.58331031130251
289,svr,M,5.399999999999999,cv_lambda,1000,33.372152135946045
290,svr,M,5.499999999999999,normal_lambda,1,37.53713790306389
291,svr,M,5.499999999999999,cv_lambda,1000,33.24973552392725
292,svr,M,5.599999999999999,normal_lambda,1,40.390284317764525
293,svr,M,5.599999999999999,cv_lambda,1000,33.00185563344007
294,svr,M,5.699999999999999,normal_lambda,1,44.57724556017291
295,svr,M,5.699999999999999,cv_lambda,1000,32.54404715697653
296,svr,M,5.799999999999999,normal_lambda,1,51.37073955931697
297,svr,M,5.799999999999999,cv_lambda,10000,33.657009974511155
298,svr,M,5.899999999999999,normal_lambda,1,64.94647009488736
299,svr,M,5.899999999999999,cv_lambda,10000,33.5604115653814
300,svr,M,5.999999999999999,normal_lambda,1,74.08030655185
301,svr,M,5.999999999999999,cv_lambda,10000,33.02413199034129
302,svr,M,6.099999999999999,normal_lambda,1,123.22779385805657
303,svr,M,6.099999999999999,cv_lambda,10000,32.27122172965885
304,svr,M,6.199999999999998,normal_lambda,1,182.3346211456637
305,svr,M,6.199999999999998,cv_lambda,10000,31.514031939249918
306,svr,M,6.299999999999999,normal_lambda,1,261.33413297026397
307,svr,M,6.299999999999999,cv_lambda,10000,29.942663083224673
308,svr,M,6.399999999999999,normal_lambda,1,550.7561622885701
309,svr,M,6.399999999999999,cv_lambda,10000,30.161666575336575
310,svr,M,6.499999999999998,normal_lambda,1,829.4083169464143
311,svr,M,6.499999999999998,cv_lambda,10000,34.59161471336925
312,svr,M,6.599999999999999,normal_lambda,1,636.7752399151432
313,svr,M,6.599999999999999,cv_lambda,10000,35.48415825101302
314,svr,M,6.699999999999998,normal_lambda,1,450.60974998316334
315,svr,M,6.699999999999998,cv_lambda,10000,43.41847054219528
316,svr,M,6.799999999999999,normal_lambda,1,566.52874006759
317,svr,M,6.799999999999999,cv_lambda,10000,40.28357359434689
318,svr,M,6.899999999999999,normal_lambda,1,665.1658546230402
319,svr,M,6.899999999999999,cv_lambda,10000,36.853444511630954
320,svr,M,6.999999999999998,normal_lambda,1,794.3791082702958
321,svr,M,6.999999999999998,cv_lambda,10000,28.214957139045524
322,svr,M,7.099999999999999,normal_lambda,1,969.8139121507702
323,svr,M,7.099999999999999,cv_lambda,10000,34.13827504819768
324,svr,M,7.199999999999998,normal_lambda,1,1365.179051622726
325,svr,M,7.199999999999998,cv_lambda,10000,40.539626837861036
326,svr,M,7.299999999999999,normal_lambda,1,1951.1767327965251
327,svr,M,7.299999999999999,cv_lambda,100,452.58756965214724
328,svr,M,7.399999999999999,normal_lambda,1,6405.630381149258
329,krr,sigma,1.0,normal_lambda,1,4.516149375236762
330,krr,sigma,1.0,cv_lambda,0.1,6.856655502806526
331,krr,sigma,2.0,normal_lambda,1,6.726383758203673
332,krr,sigma,2.0,cv_lambda,0.1,6.668340965546368
333,krr,sigma,3.0,normal_lambda,1,6.410751364362333
334,krr,sigma,3.0,cv_lambda,0.1,6.321567485424615
335,krr,sigma,4.0,normal_lambda,1,6.389808440790088
336,krr,sigma,4.0,cv_lambda,0.1,6.19390093527863
337,krr,sigma,5.0,normal_lambda,1,6.485363090763978
338,krr,sigma,5.0,cv_lambda,0.1,6.1597613544766805
339,krr,sigma,6.0,normal_lambda,1,6.588198856025663
340,krr,sigma,6.0,cv_lambda,0.1,6.165531885455932
341,krr,sigma,7.0,normal_lambda,1,6.651636000242325
342,krr,sigma,7.0,cv_lambda,0.1,6.209598884509435
343,krr,sigma,8.0,normal_lambda,1,6.676323735870282
344,krr,sigma,8.0,cv_lambda,0.1,6.287476304658208
345,krr,sigma,9.0,normal_lambda,1,6.676347128119591
346,krr,sigma,9.0,cv_lambda,0.1,6.385226188486774
347,krr,sigma,10.0,normal_lambda,1,6.663981596956495
348,krr,sigma,10.0,cv_lambda,0.1,6.48567645176276
349,krr,sigma,11.0,normal_lambda,1,6.647095009199238
350,krr,sigma,11.0,cv_lambda,0.1,6.575836121001561
351,krr,sigma,12.0,normal_lambda,1,6.6301433799744425
352,krr,sigma,12.0,cv_lambda,0.1,6.649416159162018
353,krr,sigma,13.0,normal_lambda,1,6.6154453522987025
354,krr,sigma,13.0,cv_lambda,0.1,6.70536401312941
355,krr,sigma,14.0,normal_lambda,1,6.604074660316817
356,krr,sigma,14.0,cv_lambda,0.1,6.745430906480132
357,krr,sigma,15.0,normal_lambda,1,6.596401321218698
358,krr,sigma,15.0,cv_lambda,0.1,6.772364178579667
359,krr,sigma,16.0,normal_lambda,1,6.592405432757754
360,krr,sigma,16.0,cv_lambda,0.1,6.788940566564075
361,krr,sigma,17.0,normal_lambda,1,6.591857583042411
362,krr,sigma,17.0,cv_lambda,0.1,6.797573469803327
363,krr,sigma,18.0,normal_lambda,1,6.594423244280931
364,krr,sigma,18.0,cv_lambda,0.1,6.800218929381648
365,krr,sigma,19.0,normal_lambda,1,6.599723823001154
366,krr,sigma,19.0,cv_lambda,0.1,6.798408280516484
367,krr,sigma,20.0,normal_lambda,1,6.607372596419443
368,krr,sigma,20.0,cv_lambda,0.1,6.793320731176211
369,krr,sigma,21.0,normal_lambda,1,6.616995734590947
370,krr,sigma,21.0,cv_lambda,0.1,6.785858497751216
371,krr,sigma,22.0,normal_lambda,1,6.628244217167115
372,krr,sigma,22.0,cv_lambda,0.1,6.77671132359123
373,krr,sigma,23.0,normal_lambda,1,6.640800050383089
374,krr,sigma,23.0,cv_lambda,0.1,6.766407693361941
375,krr,sigma,24.0,normal_lambda,1,6.65437885563084
376,krr,sigma,24.0,cv_lambda,0.1,6.755353982449315
377,krr,sigma,25.0,normal_lambda,1,6.66873013988842
378,krr,sigma,25.0,cv_lambda,0.1,6.743863855325809
379,krr,sigma,26.0,normal_lambda,1,6.683636106902035
380,krr,sigma,26.0,cv_lambda,0.1,6.73218019291393
381,krr,sigma,27.0,normal_lambda,1,6.698909587369405
382,krr,sigma,27.0,cv_lambda,0.1,6.7204914453760045
383,krr,sigma,28.0,normal_lambda,1,6.714391483156311
384,krr,sigma,28.0,cv_lambda,0.1,6.708943876302035
385,krr,sigma,29.0,normal_lambda,1,6.72994799576687
386,krr,sigma,29.0,cv_lambda,0.1,6.69765079086873
387,krr,sigma,30.0,normal_lambda,1,6.745467821591649
388,krr,sigma,30.0,cv_lambda,0.1,6.686699547335892
389,krr,sigma,31.0,normal_lambda,1,6.760859433749307
390,krr,sigma,31.0,cv_lambda,0.1,6.676156931816426
391,krr,sigma,32.0,normal_lambda,1,6.776048525268071
392,krr,sigma,32.0,cv_lambda,0.1,6.6660733161752095
393,krr,sigma,33.0,normal_lambda,1,6.790975656141524
394,krr,sigma,33.0,cv_lambda,0.1,6.656485903625351
395,krr,sigma,34.0,normal_lambda,1,6.8055941241093025
396,krr,sigma,34.0,cv_lambda,0.1,6.647421284068506
397,krr,sigma,35.0,normal_lambda,1,6.8198680634215565
398,krr,sigma,35.0,cv_lambda,0.1,6.638897462167892
399,krr,sigma,36.0,normal_lambda,1,6.8337707655079765
400,krr,sigma,36.0,cv_lambda,0.1,6.6309254788318
401,krr,sigma,37.0,normal_lambda,1,6.847283208981916
402,krr,sigma,37.0,cv_lambda,0.1,6.623510716277073
403,krr,sigma,38.0,normal_lambda,1,6.860392782691753
404,krr,sigma,38.0,cv_lambda,0.1,6.616653954723082
405,krr,sigma,39.0,normal_lambda,1,6.873092183767296
406,krr,sigma,39.0,cv_lambda,0.1,6.610352232589183
407,krr,sigma,40.0,normal_lambda,1,6.885378472182921
408,krr,sigma,40.0,cv_lambda,0.1,6.604599550123566
409,krr,sigma,41.0,normal_lambda,1,6.897252263815928
410,krr,sigma,41.0,cv_lambda,0.1,6.599387447482943
411,krr,sigma,42.0,normal_lambda,1,6.908717044985522
412,krr,sigma,42.0,cv_lambda,0.1,6.594705481572598
413,krr,sigma,43.0,normal_lambda,1,6.919778592777826
414,krr,sigma,43.0,cv_lambda,0.1,6.590541620840545
415,krr,sigma,44.0,normal_lambda,1,6.9304444869294235
416,krr,sigma,44.0,cv_lambda,0.1,6.586882573283731
417,krr,sigma,45.0,normal_lambda,1,6.940723700543858
418,krr,sigma,45.0,cv_lambda,0.1,6.5837140598718555
419,krr,sigma,46.0,normal_lambda,1,6.950626258379076
420,krr,sigma,46.0,cv_lambda,0.1,6.581021043189792
421,krr,sigma,47.0,normal_lambda,1,6.96016295282382
422,krr,sigma,47.0,cv_lambda,0.1,6.578787919211835
423,krr,sigma,48.0,normal_lambda,1,6.969345108952171
424,krr,sigma,48.0,cv_lambda,0.1,6.576998678609367
425,krr,sigma,49.0,normal_lambda,1,6.978184391196635
426,krr,sigma,49.0,cv_lambda,0.1,6.575637042791635
427,krr,sigma,50.0,normal_lambda,1,6.986692645208369
428,krr,sigma,50.0,cv_lambda,0.1,6.574686578908036
429,krr,sigma,51.0,normal_lambda,1,6.994881769382589
430,krr,sigma,51.0,cv_lambda,0.1,6.574130797261287
431,krr,sigma,52.0,normal_lambda,1,7.002763611324576
